================ Training Loss (Mon May 25 06:27:31 2020) ================
(epoch: 6, iters: 2800, time: 0.002, data: 0.000) total_loss: 0.856 reconstruction_loss: 0.654 confidence_loss: 0.201
(epoch: 6, iters: 3500, time: 0.002, data: 0.000) total_loss: 0.529 reconstruction_loss: 0.328 confidence_loss: 0.201
(epoch: 6, iters: 4200, time: 0.002, data: 4.927) total_loss: 0.582 reconstruction_loss: 0.393 confidence_loss: 0.189
(epoch: 6, iters: 4900, time: 0.001, data: 0.000) total_loss: 1.564 reconstruction_loss: 1.360 confidence_loss: 0.205
(epoch: 6, iters: 5600, time: 0.001, data: 0.000) total_loss: 1.321 reconstruction_loss: 1.109 confidence_loss: 0.212
(epoch: 6, iters: 6300, time: 0.001, data: 0.000) total_loss: 0.716 reconstruction_loss: 0.498 confidence_loss: 0.217
(epoch: 7, iters: 700, time: 0.002, data: 5.615) total_loss: 0.393 reconstruction_loss: 0.161 confidence_loss: 0.232
(epoch: 7, iters: 1400, time: 0.002, data: 0.000) total_loss: 0.550 reconstruction_loss: 0.338 confidence_loss: 0.212
(epoch: 7, iters: 2100, time: 0.002, data: 0.000) total_loss: 0.622 reconstruction_loss: 0.408 confidence_loss: 0.214
(epoch: 7, iters: 2800, time: 0.002, data: 1.172) total_loss: 0.523 reconstruction_loss: 0.268 confidence_loss: 0.255
(epoch: 7, iters: 3500, time: 0.002, data: 1.231) total_loss: 0.316 reconstruction_loss: 0.070 confidence_loss: 0.246
(epoch: 7, iters: 4200, time: 0.002, data: 0.000) total_loss: 0.240 reconstruction_loss: 0.041 confidence_loss: 0.198
(epoch: 7, iters: 4900, time: 0.002, data: 5.043) total_loss: 0.358 reconstruction_loss: 0.237 confidence_loss: 0.121
(epoch: 7, iters: 5600, time: 0.002, data: 0.000) total_loss: 0.216 reconstruction_loss: 0.108 confidence_loss: 0.108
(epoch: 7, iters: 6300, time: 0.001, data: 0.007) total_loss: 0.172 reconstruction_loss: 0.053 confidence_loss: 0.119
(epoch: 8, iters: 700, time: 0.002, data: 7.216) total_loss: 1.282 reconstruction_loss: 1.173 confidence_loss: 0.109
